accession	subtype
A04321	B
A07867	B
AB098330	A1
AB098331	A1
AB098332	A1
AB098333	A1
AB220944	01_AE
AB220945	01_AE
AB220946	01_AE
AB220947	01_AE
AB220948	01_AE
AB221005	B
AB221125	B
AB221126	B
AB231893	G
AB231895	02_AG
AB231896	02_AG
AB231898	02_AG
AB253421	A1
AB253422	A1
AB253423	01_AE
AB253424	01_AE
AB253425	01_AE
AB253426	01_AE
AB253427	01_AE
AB253428	A1
AB253429	A1
AB253432	B
AB253635	01_AE
AB253636	01_AE
AB253637	01_AE
AB253638	01_AE
AB253639	01_AE
AB253640	01_AE
AB253641	01_AE
AB253642	01_AE
AB253643	01_AE
AB253644	01_AE
AB253645	01_AE
AB253646	01_AE
AB253647	01_AE
AB253648	01_AE
AB253649	01_AE
AB253650	01_AE
AB253651	01_AE
AB253652	01_AE
AB253653	01_AE
AB253654	01_AE
AB253655	01_AE
AB253656	01_AE
AB253657	01_AE
AB253658	01_AE
AB253659	01_AE
AB253660	01_AE
AB253661	01_AE
AB253662	01_AE
AB253663	01_AE
AB253664	01_AE
AB253665	01_AE
AB253666	01_AE
AB253667	01_AE
AB253668	01_AE
AB253669	01_AE
AB253670	01_AE
AB253671	01_AE
AB253672	01_AE
AB253673	01_AE
AB253674	01_AE
AB253675	01_AE
AB253676	01_AE
AB253677	01_AE
AB253678	01_AE
AB253679	01_AE
AB253680	01_AE
AB253681	01_AE
AB253682	01_AE
AB253683	01_AE
AB253684	01_AE
AB253685	01_AE
AB253686	01_AE
AB253687	01_AE
AB253688	01_AE
AB253689	01_AE
AB253690	01_AE
AB253691	01_AE
AB253692	01_AE
AB253693	01_AE
AB253694	01_AE
AB253695	01_AE
AB253696	01_AE
AB253697	01_AE
AB253698	01_AE
AB253699	01_AE
AB253700	01_AE
AB253701	01_AE
AB253702	01_AE
AB253703	01_AE
AB253704	01_AE
AB253705	01_AE
AB253706	01_AE
AB253707	01_AE
AB253708	01_AE
AB253709	01_AE
AB253710	01_AE
AB253711	01_AE
AB253712	01_AE
AB253713	01_AE
AB253714	01_AE
AB253715	01_AE
AB253716	01_AE
AB253717	01_AE
AB253718	01_AE
AB253719	01_AE
AB253720	01_AE
AB253721	01_AE
AB253722	01_AE
AB253723	01_AE
AB253724	01_AE
AB253725	01_AE
AB254141	C
AB254142	C
AB254143	C
AB254144	C
AB254145	C
AB254146	C
AB254147	C
AB254148	C
AB254149	C
AB254150	C
AB254151	C
AB254152	C
AB254153	C
AB254154	C
AB254155	C
AB254156	C
AB286855	02_AG
AB286856	02_AG
AB286857	02_AG
AB286858	02_AG
AB286859	02_AG
AB286860	02_AG
AB286862	02_AG
AB286863	02_AG
AB286864	02_AG
AB286955	B
AB286956	B
AB287003	G
AB287004	G
AB287363	B
AB287364	B
AB287365	B
AB287366	B
AB287367	B
AB287368	B
AB287369	B
AB287370	B
AB287371	B
AB287372	B
AB287376	A1
AB287377	A1
AB287378	A1
AB287379	A1
AB289587	B
AB289588	B
AB289589	B
AB289590	B
AB428551	B
AB428552	B
AB428553	B
AB428554	B
AB428555	B
AB428556	B
AB428557	B
AB428558	B
AB428559	B
AB428560	B
AB428561	B
AB428562	B
AB480692	B
AB480693	B
AB480694	B
AB480695	B
AB480696	B
AB480697	B
AB480698	B
AB485632	A1
AB485633	02_AG
AB485634	02_AG
AB485635	02_AG
AB485636	02_AG
AB485637	02_AG
AB485638	B
AB485639	B
AB485640	B
AB485641	B
AB485642	B
AB485643	C
AB485644	C
AB485645	C
AB485646	C
AB485647	C
AB485648	D
AB485649	D
AB485650	D
AB485651	D
AB485652	01_AE
AB485653	01_AE
AB485654	01_AE
AB485655	01_AE
AB485656	F1
AB485657	F1
AB485658	F1
AB485659	F1
AB485662	G
AB485663	G
AB485666	O
AB485667	O
AB485668	O
AB485669	O
AB564744	B
AB564745	B
AB564746	B
AB565478	B
AB565479	B
AB565495	B
AB565496	B
AB565497	B
AB565498	B
AB565499	B
AB565500	B
AB565501	B
AB565502	B
AB565503	01_AE
AB565504	01_AE
AB604946	B
AB604947	B
AB604948	B
AB604949	B
AB604950	B
AB604951	B
AB641836	B
AB641837	B
AB703616	01_AE
AB731663	B
AB731664	B
AB731665	B
AB731666	B
AB731667	B
AB731668	B
AB731669	B
AB731670	B
AB746342	08_BC
AB746343	08_BC
AB746344	08_BC
