path,virus,gene,bytes,sha256,positions,variants,producer
data/Human_betaherpesvirus_5/UL55/results/UL55_compiled_results.json,Human_betaherpesvirus_5,UL55,212323,b048f205309491872749513861043c921e510e5b4fbe123f9eb8d29c5bb062e3,247,495,main.py
data/Human_betaherpesvirus_5/UL73/results/UL73_compiled_results.json,Human_betaherpesvirus_5,UL73,101393,7848fe4b6efcb3b8371ef6775f0428ccc2719ccb464b10d2bc6fb68fdf3a6d52,45,191,main.py
data/Human_betaherpesvirus_5/US28/results/US28_compiled_results.json,Human_betaherpesvirus_5,US28,80399,194548fccb898b70e92c4173e0f56aaebb42c16b5159b4ac8d9b194587f4bdd1,93,154,main.py
data/Human_immunodeficiency_virus_1/env/results/env_compiled_results.json,Human_immunodeficiency_virus_1,env,1056658,7bbfe4e8435f9222dae8223309b7988fd169fc2df15bf432c82544c35cfd17d6,285,1326,main.py
data/Human_immunodeficiency_virus_1/gag/results/gag_compiled_results.json,Human_immunodeficiency_virus_1,gag,611448,407195c043cd9a474365fa272bcf9e3d0f3de6689da3b57ec59402c9c8969aa8,166,780,main.py
data/Human_immunodeficiency_virus_1/pol/results/pol_compiled_results.json,Human_immunodeficiency_virus_1,pol,1142045,3ff784f59032358391704e29969cdaeda0469fbbcdc8f8e8f3f9faddb33d20bb,334,1465,main.py
data/Severe_acute_respiratory_syndrome_coronavirus_2/E/results/E_compiled_results.json,Severe_acute_respiratory_syndrome_coronavirus_2,E,33465,54368eed9c50e74e8e1b8d20a8f8fa74699c27660dbc082db0399a637faf9db5,25,29,main.py
data/Severe_acute_respiratory_syndrome_coronavirus_2/M/results/M_compiled_results.json,Severe_acute_respiratory_syndrome_coronavirus_2,M,98857,c16eeb4ab22348e6190753fe572128db34fcbc276706e11444cd3ad9a6906667,74,86,main.py
data/Severe_acute_respiratory_syndrome_coronavirus_2/N/results/N_compiled_results.json,Severe_acute_respiratory_syndrome_coronavirus_2,N,194901,d278736847d8c01a41a8ebe43c10174303ba29c0bf6f2cece9089f21bb454f7d,139,171,main.py
data/Severe_acute_respiratory_syndrome_coronavirus_2/ORF1ab/results/ORF1ab_compiled_results.json,Severe_acute_respiratory_syndrome_coronavirus_2,ORF1ab,2950563,f4bcf9585ead77bda260e0fb4977014a5185367d5d51f3ff285532e217d8b791,2365,2524,main.py
data/Severe_acute_respiratory_syndrome_coronavirus_2/S/results/S_compiled_results.json,Severe_acute_respiratory_syndrome_coronavirus_2,S,643066,02fab9e0b82ada9cbf91f9f168bf1965dfc1e20d71e128ce769f5e3b1d3fb11b,424,571,main.py
data/toy/US28/results/US28_compiled_results.json,toy,US28,40334,6ee9d938146c914d15ed888d73b70579e21752edb73c5d9372399a0a8c071a3e,42,99,main.py
