Dataset,Gene,Positions,Sequences,Classes,Mean k-mers per position,KSS discriminative (us/position),Chi-squared (us/position),Mutual information (us/position),Mutational lookup (us/position),"KSS discriminative (us/position, min)","Chi-squared (us/position, min)","Mutual information (us/position, min)","Mutational lookup (us/position, min)","KSS discriminative (us/position, max)","Chi-squared (us/position, max)","Mutual information (us/position, max)","Mutational lookup (us/position, max)",KSS/chi-squared ratio,Timed repeats
HCMV,UL55,247,399,4,2.0,268.81,494.35,1024.4,0.9,264.45,480.76,990.17,0.89,270.46,497.47,1033.56,0.91,0.54,3
HCMV,UL73,45,646,8,4.24,775.26,566.0,2017.4,3.68,760.65,564.45,1935.29,3.65,777.6,595.56,2053.42,3.7,1.37,3
HCMV,US28,93,443,6,1.66,326.34,514.0,925.42,0.54,316.33,487.59,915.58,0.52,328.92,523.77,974.62,0.55,0.63,3
HIV-1,gag,166,12223,15,4.7,14994.57,4373.22,8808.3,3.17,14628.59,4195.41,8052.81,3.17,15768.74,4448.39,8934.55,3.87,3.43,3
HIV-1,pol,334,12223,15,4.39,12715.37,3702.9,7752.85,2.39,12586.02,3675.57,7054.93,2.39,12923.57,3722.55,8294.49,2.4,3.43,3
HIV-1,env,285,12223,15,4.65,12693.38,3940.46,7880.26,4.71,12662.76,3788.6,7402.73,4.7,13462.77,4066.67,9190.5,4.93,3.22,3
SARS-CoV-2,E,25,278738,19,1.16,295484.08,147703.81,113942.07,0.57,280434.1,138652.88,101720.15,0.54,302164.41,155850.63,115268.17,0.58,2.0,3
SARS-CoV-2,M,74,278738,19,1.16,272322.93,120862.46,98290.18,0.45,271126.06,117678.46,94103.67,0.44,281481.38,123451.51,98430.16,0.47,2.25,3
SARS-CoV-2,N,139,278738,19,1.23,266990.73,131701.97,116803.82,0.52,266233.31,129854.61,112338.34,0.52,272423.92,132817.79,118233.27,0.52,2.03,3
SARS-CoV-2,S,424,278738,19,1.35,294296.42,129416.66,120751.81,0.79,288892.8,128752.4,117714.41,0.79,297857.5,131815.14,121482.64,0.81,2.27,3
SARS-CoV-2,ORF1ab,2365,278738,19,1.07,282392.64,133845.07,100353.94,0.25,280191.52,132751.93,96906.69,0.25,284376.52,135347.86,100535.54,0.26,2.11,3
