matrix,pairs,binding,zero_impact,smallest_impact,smallest_impact_above_floor,binding_at_double_floor
RISLER,190,20,1,0.0,0.125,40
MIYATA,190,8,0,0.011695906432748426,0.10916179337231957,33
MIYATA_EVO,190,8,2,0.0,0.10617760617760619,30
GRANTHAM,190,5,0,0.023255813953488413,0.10232558139534886,28
BENNER22,190,0,0,0.4434389140271493,0.4434389140271493,0
BENNER6,190,0,0,0.42523364485981296,0.42523364485981296,0
BENNER74,190,0,0,0.4653465346534653,0.4653465346534653,0
BLASTP,190,0,0,0.5333333333333333,0.5333333333333333,0
BLOSUM45,190,0,0,0.6,0.6,0
BLOSUM50,190,0,0,0.55,0.55,0
BLOSUM62,190,0,0,0.5454545454545454,0.5454545454545454,0
BLOSUM80,190,0,0,0.5,0.5,0
BLOSUM90,190,0,0,0.47058823529411764,0.47058823529411764,0
DAYHOFF,190,0,0,0.4,0.4,0
FENG,190,0,0,0.16666666666666663,0.16666666666666663,16
FLAVI,190,0,0,0.2692307692307693,0.2692307692307693,0
FLU,190,0,0,0.34615384615384615,0.34615384615384615,0
GENETIC,190,0,0,0.3177570093457943,0.3177570093457943,0
GONNET1992,190,0,0,0.4690721649484535,0.4690721649484535,0
HIVb,190,0,0,0.33333333333333337,0.33333333333333337,0
HIVw,190,0,0,0.28,0.28,0
JOHNSON,190,0,0,0.4517374517374517,0.4517374517374517,0
JONES,190,0,0,0.5,0.5,0
LEVIN,190,0,0,0.25,0.25,0
MCLACHLAN,190,0,0,0.33333333333333337,0.33333333333333337,0
MDM78,190,0,0,0.41035856573705176,0.41035856573705176,0
PAM120,190,0,0,0.4,0.4,0
PAM250,190,0,0,0.4,0.4,0
PAM30,190,0,0,0.3666666666666667,0.3666666666666667,0
PAM70,190,0,0,0.375,0.375,0
RAO,190,0,0,0.2857142857142857,0.2857142857142857,0
SNEATH,190,0,0,0.11111111111111116,0.11111111111111116,5
STR,190,0,0,0.42105263157894735,0.42105263157894735,0
VTML160,190,0,0,0.4347826086956522,0.4347826086956522,0
VTML200,190,0,0,0.47619047619047616,0.47619047619047616,0
VTML250,190,0,0,0.4736842105263158,0.4736842105263158,0
WAG,190,0,0,0.4444444444444444,0.4444444444444444,0
rtREV,190,0,0,0.35,0.35,0
