model,divergence_delta,is_reference_value,composite,rank_overall,rank_among_candidates,distinct_values,spearman_vs_reference_delta
HIVb,2.0,False,3.0717801006458556,18,17,17,0.9898915007835191
HIVb,2.5,True,3.055566205126592,18,17,15,0.9999999999999999
HIVb,3.0,False,3.126430528973706,18,17,13,0.9863842311470419
HIVb,4.0,False,3.0828031031761407,18,17,11,0.9686801173703528
HIVw,2.0,False,2.2221883292581555,36,35,19,0.9932798313083732
HIVw,2.5,True,2.171299957349983,36,35,18,1.0
HIVw,3.0,False,2.200800122843603,36,35,17,0.9877189198367763
HIVw,4.0,False,2.1548054780679013,37,36,14,0.976341551817462
rtREV,2.0,False,3.421678372052584,6,5,14,0.9782607197945686
rtREV,2.5,True,3.449466175919683,4,3,13,1.0
rtREV,3.0,False,3.502784847453872,4,3,11,0.9717152537325
rtREV,4.0,False,3.4670415149988827,4,3,9,0.955232330210677
FLU,2.0,False,2.7883080852661277,30,29,19,0.9895346128624785
FLU,2.5,True,2.761569377535566,31,30,18,1.0
FLU,3.0,False,2.797528052018639,30,29,15,0.9830694839111116
FLU,4.0,False,2.7897122189954966,30,29,14,0.9780002605869417
FLAVI,2.0,False,2.7196810568615906,32,31,21,0.9917968397243789
FLAVI,2.5,True,2.622650857523695,33,32,19,0.9999999999999999
FLAVI,3.0,False,2.581998177529556,33,32,16,0.9925691464641242
FLAVI,4.0,False,2.6119215386146877,33,32,16,0.980950763910497
WAG,2.0,False,3.2588149200973513,12,11,12,0.9711430975552299
WAG,2.5,True,3.2910530286464033,11,10,11,1.0
WAG,3.0,False,3.3127278838045062,10,9,9,0.9608276340346723
WAG,4.0,False,3.132613832415446,17,16,8,0.9371229427945436
