Rank,Matrix,Hydrophob.,Polarity,Volume,Area Lost,pI,In-Out,Aroma.,MinCodD,Composite
1,MIYATA_EVO,0.849,0.791,0.286,0.764,0.419,0.773,0.284,0.412,4.578
2,MIYATA,0.738,0.727,0.398,0.554,0.130,0.471,0.277,0.270,3.566
3,FENG,0.617,0.628,0.216,0.524,0.163,0.416,0.253,0.707,3.525
4,rtREV,0.709,0.682,0.280,0.622,0.055,0.501,0.287,0.312,3.449
5,BENNER74,0.697,0.666,0.302,0.621,0.006,0.433,0.289,0.427,3.441
6,BENNER22,0.674,0.638,0.283,0.550,0.031,0.397,0.321,0.544,3.439
7,GONNET1992,0.705,0.670,0.295,0.629,-0.001,0.440,0.276,0.388,3.402
8,VTML250,0.677,0.638,0.311,0.595,0.021,0.438,0.302,0.370,3.351
9,VTML200,0.664,0.630,0.323,0.575,0.019,0.416,0.309,0.383,3.319
10,JONES,0.626,0.600,0.245,0.503,0.043,0.389,0.303,0.601,3.309
