dataset,unit,top_k,w_p,gene,n_selected,gene_protein_score
SARS-CoV-2,pooled,12,0.0,S,7,1.0
SARS-CoV-2,pooled,12,0.0,ORF1ab,3,1.0
SARS-CoV-2,pooled,12,0.0,N,2,1.0
SARS-CoV-2,pooled,12,0.5,S,7,1.0
SARS-CoV-2,pooled,12,0.5,ORF1ab,3,1.0
SARS-CoV-2,pooled,12,0.5,N,2,1.0
SARS-CoV-2,pooled,12,1.0,S,7,1.0
SARS-CoV-2,pooled,12,1.0,ORF1ab,3,1.0
SARS-CoV-2,pooled,12,1.0,N,2,1.0
SARS-CoV-2,pooled,12,2.0,S,7,1.0
SARS-CoV-2,pooled,12,2.0,ORF1ab,3,1.0
SARS-CoV-2,pooled,12,2.0,N,2,1.0
SARS-CoV-2,pooled,12,3.0,S,7,1.0
SARS-CoV-2,pooled,12,3.0,ORF1ab,3,1.0
SARS-CoV-2,pooled,12,3.0,N,2,1.0
SARS-CoV-2,pooled,25,0.0,S,17,1.0
SARS-CoV-2,pooled,25,0.0,N,4,1.0
SARS-CoV-2,pooled,25,0.0,ORF1ab,4,1.0
SARS-CoV-2,pooled,25,0.5,S,17,1.0
SARS-CoV-2,pooled,25,0.5,N,4,1.0
SARS-CoV-2,pooled,25,0.5,ORF1ab,4,1.0
SARS-CoV-2,pooled,25,1.0,S,17,1.0
SARS-CoV-2,pooled,25,1.0,N,4,1.0
SARS-CoV-2,pooled,25,1.0,ORF1ab,4,1.0
SARS-CoV-2,pooled,25,2.0,S,17,1.0
SARS-CoV-2,pooled,25,2.0,N,4,1.0
SARS-CoV-2,pooled,25,2.0,ORF1ab,4,1.0
SARS-CoV-2,pooled,25,3.0,S,17,1.0
SARS-CoV-2,pooled,25,3.0,N,4,1.0
SARS-CoV-2,pooled,25,3.0,ORF1ab,4,1.0
HIV-1,pooled,12,0.0,gag,5,0.925
HIV-1,pooled,12,0.0,env,4,0.85
HIV-1,pooled,12,0.0,pol,3,1.0
HIV-1,pooled,12,0.5,gag,6,0.925
HIV-1,pooled,12,0.5,pol,4,1.0
HIV-1,pooled,12,0.5,env,2,0.85
HIV-1,pooled,12,1.0,pol,6,1.0
HIV-1,pooled,12,1.0,gag,4,0.925
HIV-1,pooled,12,1.0,env,2,0.85
HIV-1,pooled,12,2.0,pol,8,1.0
HIV-1,pooled,12,2.0,gag,4,0.925
HIV-1,pooled,12,3.0,pol,9,1.0
HIV-1,pooled,12,3.0,gag,3,0.925
HIV-1,pooled,25,0.0,gag,11,0.925
HIV-1,pooled,25,0.0,pol,8,1.0
HIV-1,pooled,25,0.0,env,6,0.85
HIV-1,pooled,25,0.5,gag,11,0.925
HIV-1,pooled,25,0.5,pol,8,1.0
HIV-1,pooled,25,0.5,env,6,0.85
HIV-1,pooled,25,1.0,gag,10,0.925
HIV-1,pooled,25,1.0,pol,9,1.0
HIV-1,pooled,25,1.0,env,6,0.85
HIV-1,pooled,25,2.0,pol,12,1.0
HIV-1,pooled,25,2.0,gag,11,0.925
HIV-1,pooled,25,2.0,env,2,0.85
HIV-1,pooled,25,3.0,pol,15,1.0
HIV-1,pooled,25,3.0,gag,10,0.925
HCMV,UL55,12,0.0,UL55,12,0.65
HCMV,UL55,12,0.5,UL55,12,0.65
HCMV,UL55,12,1.0,UL55,12,0.65
HCMV,UL55,12,2.0,UL55,12,0.65
HCMV,UL55,12,3.0,UL55,12,0.65
HCMV,UL55,25,0.0,UL55,25,0.65
HCMV,UL55,25,0.5,UL55,25,0.65
HCMV,UL55,25,1.0,UL55,25,0.65
HCMV,UL55,25,2.0,UL55,25,0.65
HCMV,UL55,25,3.0,UL55,25,0.65
HCMV,UL73,12,0.0,UL73,12,0.425
HCMV,UL73,12,0.5,UL73,12,0.425
HCMV,UL73,12,1.0,UL73,12,0.425
HCMV,UL73,12,2.0,UL73,12,0.425
HCMV,UL73,12,3.0,UL73,12,0.425
HCMV,UL73,25,0.0,UL73,25,0.425
HCMV,UL73,25,0.5,UL73,25,0.425
HCMV,UL73,25,1.0,UL73,25,0.425
HCMV,UL73,25,2.0,UL73,25,0.425
HCMV,UL73,25,3.0,UL73,25,0.425
HCMV,US28,12,0.0,US28,12,0.885
HCMV,US28,12,0.5,US28,12,0.885
HCMV,US28,12,1.0,US28,12,0.885
HCMV,US28,12,2.0,US28,12,0.885
HCMV,US28,12,3.0,US28,12,0.885
HCMV,US28,25,0.0,US28,25,0.885
HCMV,US28,25,0.5,US28,25,0.885
HCMV,US28,25,1.0,US28,25,0.885
HCMV,US28,25,2.0,US28,25,0.885
HCMV,US28,25,3.0,US28,25,0.885
