dataset_gene,top_k,baseline,kss_mean,baseline_mean,mean_difference,se_naive,se_corrected,t_corrected,p_corrected_t,ci95_low,ci95_high,p_holm
HCMV / UL55,1,Chi2,0.9937953709912057,0.9962819040659742,-0.00248653307476834,0.0003405980116206969,0.002272714849105824,-1.0940805335727182,0.2765745216328278,-0.006996092404486283,0.002023026254949603,1.0
HCMV / UL55,2,Chi2,0.9964979905005478,0.9964979905005478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL55,3,Chi2,0.9989623675557179,0.9992217756667884,-0.000259408111070516,0.00018250047284758126,0.0012177743863972929,-0.21301820268856056,0.8317507982578597,-0.002675736691767772,0.00215692046962674,1.0
HCMV / UL55,5,Chi2,0.9998702959444649,1.0,-0.000129704055535258,0.000129704055535258,0.0008654787254968068,-0.1498639443283884,0.8811768512763914,-0.0018470016139034296,0.0015875935028329135,1.0
HCMV / UL55,7,Chi2,1.0,0.9997405918889295,0.000259408111070516,0.00018250047284758126,0.0012177743863972929,0.21301820268856056,0.8317507982578597,-0.00215692046962674,0.002675736691767772,1.0
HCMV / UL55,10,Chi2,0.9974059188892948,0.9970168067226888,0.000389112166605774,0.00038911216660577393,0.002596436176490419,0.14986394432838845,0.8811768512763913,-0.004762780508498738,0.005541004841710286,1.0
HCMV / UL55,15,Chi2,0.9964979905005478,0.9964979905005478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL55,20,Chi2,0.9964979905005478,0.9964979905005478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL55,25,Chi2,0.9964979905005478,0.9964979905005478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL73,1,Chi2,0.9990764858068961,0.9990764858068961,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL73,2,Chi2,0.9992997373078585,1.0,-0.0007002626921415312,0.00026508464607949075,0.0017821187226210445,-0.39293829488061405,0.6952098871554792,-0.00423637287130574,0.0028358474870226772,1.0
HCMV / UL73,3,Chi2,0.9993707139975797,1.0,-0.000629286002420324,0.0001712699564672904,0.0011514186149858047,-0.5465310307043126,0.5859306408827664,-0.002913950336647312,0.0016553783318066636,1.0
HCMV / UL73,5,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL73,7,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL73,10,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / UL73,15,Chi2,0.9997857142857144,0.9985,0.001285714285714301,0.0002758020854752669,0.0018541702340467256,0.6934176064881757,0.48967120610530707,-0.0023933617238081667,0.004964790295236769,1.0
HCMV / UL73,20,Chi2,0.9990000000000001,0.998857142857143,0.00014285714285714458,0.00010050378152592241,0.0006756697281435601,0.21143043251271956,0.8329860466599553,-0.0011978181853990934,0.0014835324711133828,1.0
HCMV / UL73,25,Chi2,0.9978571428571428,0.9978571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / US28,1,Chi2,0.7804152833575746,0.7804152833575746,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / US28,2,Chi2,0.9839229457096356,0.7854978518331406,0.19842509387649498,0.0013321825742888354,0.008966259172450445,22.130198342489596,4.117737968953179e-40,0.18063409043420162,0.21621609731878835,3.294190375162543e-39
HCMV / US28,3,Chi2,0.9889989446356506,0.7866270297915868,0.2023719148440638,0.0010911303236832968,0.007343856211515809,27.556628154936767,3.134632633771612e-48,0.18780011085916093,0.21694371882896668,2.821169370394451e-47
HCMV / US28,5,Chi2,0.989454129394633,0.989454129394633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / US28,7,Chi2,0.989454129394633,0.9995194508009153,-0.010065321406282503,0.0011020894105467109,0.007417616381485921,-1.3569482281943226,0.17788354775708828,-0.024783481570791965,0.0046528387582269615,1.0
HCMV / US28,10,Chi2,0.989454129394633,1.0,-0.010545870605367168,0.0010919281362855855,0.007349225891844337,-1.434963458814111,0.15444918186380546,-0.025128329201002508,0.004036587990268171,1.0
HCMV / US28,15,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / US28,20,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HCMV / US28,25,Chi2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HIV-1 / pooled,1,Chi2,0.3259679857822866,0.3130412388092587,0.012926746973027878,0.0013835504664500974,0.026377123623978222,0.49007417022820376,0.6251657346976568,-0.03941118885576026,0.06526468280181602,1.0
