n_iterations,mean_difference,se_naive,se_corrected,p_naive,p_corrected
10,0.005021574888551983,0.001228756274135603,0.009380578299064753,0.002730430985880359,0.6006093277363467
15,0.0054423377537950865,0.0010642597203740928,0.010418853565812541,0.00015765875148547384,0.6063276501103215
20,0.004922671270484824,0.0008384965894831863,0.009590149901935484,1.182419119298037e-05,0.6113225444253468
25,0.004774641460728879,0.000708437501165819,0.009408220406855837,5.694449938600588e-07,0.6146120878072898
30,0.00466130727997542,0.0006056911257207632,0.00885089517356625,1.7399221148716887e-08,0.600910534445975
35,0.004707357989762311,0.0005753163997771529,0.009000614090128846,1.5194772294628122e-09,0.6030241343871587
40,0.00467598117463631,0.0005610350499914194,0.00895143403718029,3.40595676754685e-10,0.6030866204329185
45,0.0048218435023600105,0.0005656490382782962,0.009194717631085321,7.214018287539138e-11,0.6014283767711163
50,0.0049344647282002115,0.0005536190473438675,0.009578514992223975,7.947059208998899e-12,0.6077136556982771
55,0.004878491537101287,0.0005275153665740694,0.009663235589637815,1.009572809511759e-12,0.6148172373846705
60,0.004710751910231274,0.0004910410648990378,0.009444461335825282,1.1892574707228997e-13,0.6189843629163522
65,0.004850019166910926,0.00047377030096706544,0.00949065721255167,4.156895670930266e-15,0.6103403854369313
70,0.00500626397965335,0.00045791281698391714,0.009501470294162633,1.0385527067577045e-16,0.5992255136396447
75,0.005076366297164701,0.0004323962525113611,0.009532636596010724,1.4329802134858901e-18,0.5952730046040172
80,0.005048852994506682,0.00041058251496143585,0.00949008426549638,4.9263450050917834e-20,0.5955660514858164
85,0.005053411376123553,0.00038785425175833204,0.009327057060778248,7.200850118575603e-22,0.5887749399425506
90,0.004886472261101834,0.00037631440044981083,0.009234380403439461,2.988290024198851e-22,0.5974414633539208
95,0.004844072749905582,0.0003622709803832329,0.009173954806807135,1.8044623223593733e-23,0.5981942791868158
100,0.004839275207120931,0.0003543496097044399,0.009251348637258688,1.6753038515566782e-24,0.6015729665783898
