scope,baseline,kss_mean,baseline_mean,n_pairs,mean_difference,se_naive,se_corrected,t_corrected,p_corrected_t,ci95_low,ci95_high,p_wilcoxon,cohen_dz,wins,ties,losses,tost_p_margin_0.01,equivalent_margin_0.01,tost_p_margin_0.02,equivalent_margin_0.02,p_corrected_t_holm,significant_holm
Global (mean of 5 dataset/gene units),Random,0.8808247673495212,0.5548952809117138,100,0.32592948643780745,0.0021745497131368512,0.024660914066809713,13.216439810577212,4.695450900808492e-31,0.27737606790941804,0.37448290496619685,3.8965598450959084e-18,14.988366762498368,100,0,0,1.0,False,1.0,False,3.756360720646794e-30,True
Global (mean of 5 dataset/gene units),MI,0.8808247673495212,0.8583573130219747,100,0.022467454327546345,0.00020510722959192826,0.00617965165293082,3.635715342771905,0.00036648257148210416,0.010269282407004924,0.034665626248087764,3.8965598450959084e-18,10.954004094466363,100,0,0,0.9773969869775223,False,0.6549101478503957,False,0.002565378000374729,True
Global (mean of 5 dataset/gene units),CramerV,0.8808247673495212,0.7059982724124626,100,0.17482649493705857,0.0015918234016911769,0.05648926047098376,3.0948625186350216,0.0025022533529755558,0.06286718572967824,0.2867858041444389,3.8965598450959084e-18,10.982782056811093,100,0,0,0.9978593827249,False,0.9964183697681762,False,0.015013520117853334,True
Global (mean of 5 dataset/gene units),NMI,0.8808247673495212,0.8623075935802598,100,0.01851717376926144,0.00020201220536966656,0.00630239457016607,2.9381171811928475,0.0038067491253464003,0.006067501421308076,0.030966846117214807,3.8965598450959084e-18,9.166363851816012,100,0,0,0.9107347453517411,False,0.40715106481493135,False,0.019033745626732,True
Global (mean of 5 dataset/gene units),SymChi2,0.8808247673495212,0.845819987274765,100,0.035004780074756145,0.0007681862194980495,0.01548043538959326,2.261227103359648,0.02552195098745606,0.004358780478343205,0.06565077967116908,3.8965598450959084e-18,4.556809167655867,100,0,0,0.9455762183821863,False,0.832833957216333,False,0.10208780394982424,False
Global (mean of 5 dataset/gene units),ANOVA,0.8808247673495212,0.7796755025478151,100,0.1011492648017062,0.0011072218974046818,0.05816702578312669,1.7389451057517877,0.08495218893042988,-0.014174598626336632,0.21647312822974904,3.8965598450959084e-18,9.135410439298496,100,0,0,0.939953152378859,False,0.917047915223163,False,0.25485656679128965,False
Global (mean of 5 dataset/gene units),Chi2,0.8808247673495212,0.8759854921424005,100,0.004839275207120931,0.0003543496097044399,0.009251348637258688,0.5230886216558022,0.6015729665783898,-0.013419052569778617,0.02309760298402048,4.8816168731894246e-17,1.3656781536057938,94,0,6,0.28883433079409965,False,0.05152833352587556,False,1.0,False
Global (mean of 5 dataset/gene units),OddsRatio,0.8808247673495212,0.8656467443940482,100,0.015178022955473026,0.0011742847091828976,0.06383783731708004,0.23775904061543282,0.8125483550295084,-0.11145496532536822,0.14181101123631426,6.311606041551026e-18,1.2925334747852035,96,0,4,0.5322435671938096,False,0.46996912003538244,False,1.0,False
HCMV / UL55,CramerV,0.9973362128203195,0.7987804742293372,100,0.19855573859098224,0.0040739544601897,0.02718435363787485,7.304044864776282,7.18794147158818e-11,0.14461608328479109,0.2524953938971734,3.876824179695748e-18,4.873783949507788,100,0,0,0.9999999997901998,False,0.9999999988099236,False,5.750353177270544e-10,True
HCMV / UL55,Random,0.9973362128203195,0.7917249020568352,100,0.20561131076348435,0.006166100736319349,0.04114465800264752,4.997278401250873,2.5094974081089117e-06,0.1239713828874054,0.2872512386395633,3.8965598450959084e-18,3.334543491195333,100,0,0,0.999996615663866,False,0.9999911220122214,False,1.756648185676238e-05,True
