dataset_gene,baseline,n_positions,spearman_rho
HCMV / UL55,Chi-squared,302,0.9863892546192372
HCMV / UL55,Odds ratio,302,0.9575072203202196
HCMV / UL55,NMI,302,0.9957515349438156
HCMV / UL55,Mutual information,302,0.9964606536736811
HCMV / UL55,Normalized symmetric chi-squared divergence,302,0.9410969407625576
HCMV / UL55,ANOVA,302,0.9684159028348803
HCMV / UL55,Cramer's V,302,0.9489545172157197
HCMV / UL73,Chi-squared,46,0.9869553192389982
HCMV / UL73,Odds ratio,46,0.985475071291133
HCMV / UL73,NMI,46,0.9912110320891099
HCMV / UL73,Mutual information,46,0.9876337662151029
HCMV / UL73,Normalized symmetric chi-squared divergence,46,0.9823879626277535
HCMV / UL73,ANOVA,46,0.8646498325466514
HCMV / UL73,Cramer's V,46,0.8732846122425306
HCMV / US28,Chi-squared,118,0.992671582156432
HCMV / US28,Odds ratio,118,0.7232425883910116
HCMV / US28,NMI,118,0.9978706109355973
HCMV / US28,Mutual information,118,0.9986449343707922
HCMV / US28,Normalized symmetric chi-squared divergence,118,0.852769933301046
HCMV / US28,ANOVA,118,0.9864088558044561
HCMV / US28,Cramer's V,118,0.9775059045899729
HIV-1 / pooled,Chi-squared,785,0.6769950064614665
HIV-1 / pooled,Odds ratio,785,0.7355942136786671
HIV-1 / pooled,NMI,785,0.9483620800062544
HIV-1 / pooled,Mutual information,785,0.9810729125688262
HIV-1 / pooled,Normalized symmetric chi-squared divergence,785,0.6414425735066847
HIV-1 / pooled,ANOVA,785,0.5689040336458797
HIV-1 / pooled,Cramer's V,785,0.4059775012860122
SARS-CoV-2 / pooled,Chi-squared,3027,0.9766438960960833
SARS-CoV-2 / pooled,Odds ratio,3027,0.5846470690004144
SARS-CoV-2 / pooled,NMI,3027,0.9992132082300964
SARS-CoV-2 / pooled,Mutual information,3027,0.9991981564450266
SARS-CoV-2 / pooled,Normalized symmetric chi-squared divergence,3027,0.5037762787281366
SARS-CoV-2 / pooled,ANOVA,3027,0.9613852979320681
SARS-CoV-2 / pooled,Cramer's V,3027,0.9613505574145059
