dataset_gene,top_k,baseline,shared_positions,jaccard
HCMV / UL55,1,Chi-squared,1,1.0
HCMV / UL55,1,Odds ratio,1,1.0
HCMV / UL55,1,NMI,1,1.0
HCMV / UL55,1,Mutual information,1,1.0
HCMV / UL55,1,Normalized symmetric chi-squared divergence,0,0.0
HCMV / UL55,1,ANOVA,1,1.0
HCMV / UL55,1,Cramer's V,0,0.0
HCMV / UL55,2,Chi-squared,2,1.0
HCMV / UL55,2,Odds ratio,2,1.0
HCMV / UL55,2,NMI,2,1.0
HCMV / UL55,2,Mutual information,2,1.0
HCMV / UL55,2,Normalized symmetric chi-squared divergence,1,0.3333333333333333
HCMV / UL55,2,ANOVA,2,1.0
HCMV / UL55,2,Cramer's V,0,0.0
HCMV / UL55,3,Chi-squared,3,1.0
HCMV / UL55,3,Odds ratio,2,0.5
HCMV / UL55,3,NMI,2,0.5
HCMV / UL55,3,Mutual information,2,0.5
HCMV / UL55,3,Normalized symmetric chi-squared divergence,2,0.5
HCMV / UL55,3,ANOVA,2,0.5
HCMV / UL55,3,Cramer's V,0,0.0
HCMV / UL55,5,Chi-squared,5,1.0
HCMV / UL55,5,Odds ratio,4,0.6666666666666666
HCMV / UL55,5,NMI,5,1.0
HCMV / UL55,5,Mutual information,4,0.6666666666666666
HCMV / UL55,5,Normalized symmetric chi-squared divergence,4,0.6666666666666666
HCMV / UL55,5,ANOVA,4,0.6666666666666666
HCMV / UL55,5,Cramer's V,0,0.0
HCMV / UL55,7,Chi-squared,7,1.0
HCMV / UL55,7,Odds ratio,6,0.75
HCMV / UL55,7,NMI,7,1.0
HCMV / UL55,7,Mutual information,7,1.0
HCMV / UL55,7,Normalized symmetric chi-squared divergence,6,0.75
HCMV / UL55,7,ANOVA,5,0.5555555555555556
HCMV / UL55,7,Cramer's V,2,0.16666666666666666
HCMV / UL55,10,Chi-squared,9,0.8181818181818182
HCMV / UL55,10,Odds ratio,10,1.0
HCMV / UL55,10,NMI,9,0.8181818181818182
HCMV / UL55,10,Mutual information,9,0.8181818181818182
HCMV / UL55,10,Normalized symmetric chi-squared divergence,9,0.8181818181818182
HCMV / UL55,10,ANOVA,5,0.3333333333333333
HCMV / UL55,10,Cramer's V,3,0.17647058823529413
HCMV / UL55,15,Chi-squared,12,0.6666666666666666
HCMV / UL55,15,Odds ratio,12,0.6666666666666666
HCMV / UL55,15,NMI,12,0.6666666666666666
HCMV / UL55,15,Mutual information,13,0.7647058823529411
HCMV / UL55,15,Normalized symmetric chi-squared divergence,14,0.875
HCMV / UL55,15,ANOVA,7,0.30434782608695654
HCMV / UL55,15,Cramer's V,6,0.25
HCMV / UL55,20,Chi-squared,18,0.8181818181818182
HCMV / UL55,20,Odds ratio,16,0.6666666666666666
HCMV / UL55,20,NMI,18,0.8181818181818182
HCMV / UL55,20,Mutual information,18,0.8181818181818182
HCMV / UL55,20,Normalized symmetric chi-squared divergence,19,0.9047619047619048
HCMV / UL55,20,ANOVA,12,0.42857142857142855
HCMV / UL55,20,Cramer's V,8,0.25
HCMV / UL55,25,Chi-squared,22,0.7857142857142857
HCMV / UL55,25,Odds ratio,22,0.7857142857142857
HCMV / UL55,25,NMI,20,0.6666666666666666
HCMV / UL55,25,Mutual information,22,0.7857142857142857
HCMV / UL55,25,Normalized symmetric chi-squared divergence,23,0.8518518518518519
HCMV / UL55,25,ANOVA,14,0.3888888888888889
HCMV / UL55,25,Cramer's V,9,0.21951219512195122
HCMV / UL73,1,Chi-squared,1,1.0
HCMV / UL73,1,Odds ratio,1,1.0
HCMV / UL73,1,NMI,1,1.0
HCMV / UL73,1,Mutual information,1,1.0
