dataset,threshold,is_published_value,positions,variants,kss_mean,kss_sd,kss_variance,discriminative_sd,spearman_full_vs_published,selection_rule,selection_size,shared_selection,jaccard_selection,shared_top12,jaccard_top12,shared_top25,jaccard_top25
HCMV,10,False,385,899,0.39240259740259736,0.13593436871300282,0.018478152597402597,0.3025250739357789,0.9937583776240645,ten per gene,30,29,0.9354838709677419,12,1.0,25,1.0
HCMV,15,False,385,863,0.39128051948051956,0.1359371379678714,0.018478905478896104,0.3024421219361022,0.9970336650469428,ten per gene,30,29,0.9354838709677419,12,1.0,25,1.0
HCMV,20,False,385,847,0.390961038961039,0.13586685823108008,0.018459803165584415,0.3023040588886672,0.9972832517739189,ten per gene,30,29,0.9354838709677419,12,1.0,25,1.0
HCMV,25,True,385,840,0.3903792207792208,0.1357505815841424,0.0184282204004329,0.30239705262297933,1.0,ten per gene,30,30,1.0,12,1.0,25,1.0
HCMV,30,False,385,830,0.3899324675324676,0.13595281277887994,0.018483167302489178,0.3027673268489371,0.9985429115011875,ten per gene,30,30,1.0,12,1.0,25,1.0
HCMV,33,False,385,817,0.3879844155844156,0.13539650401011163,0.018332213298160174,0.3033493581496866,0.984456644240611,ten per gene,30,29,0.9354838709677419,12,1.0,24,0.9230769230769231
HCMV,40,False,385,801,0.38664415584415585,0.13420844570797566,0.018011906899350647,0.30332317365008593,0.9814886281648109,ten per gene,30,28,0.875,11,0.8461538461538461,24,0.9230769230769231
HCMV,45,False,385,791,0.3854935064935065,0.1341596164726911,0.017998802692099566,0.3035571522744436,0.9755653907490107,ten per gene,30,28,0.875,11,0.8461538461538461,24,0.9230769230769231
HCMV,50,False,385,778,0.3849116883116883,0.1342121784615785,0.018012908847402597,0.30352562560305724,0.9750198717759301,ten per gene,30,28,0.875,11,0.8461538461538461,24,0.9230769230769231
HIV-1,10,False,785,7052,0.6433006369426751,0.12883311191861585,0.0165979707266346,0.2245860642965746,0.8575744358923728,12 pooled across genes,12,7,0.4117647058823529,7,0.4117647058823529,15,0.42857142857142855
HIV-1,15,False,785,5301,0.6250726114649682,0.12479410012068581,0.015573567424931755,0.22904741034727544,0.9067289451893016,12 pooled across genes,12,7,0.4117647058823529,7,0.4117647058823529,18,0.5625
HIV-1,20,False,785,4572,0.6156687898089173,0.12326319880764806,0.015193816180293772,0.23040180391771595,0.9370593603853574,12 pooled across genes,12,8,0.5,8,0.5,20,0.6666666666666666
HIV-1,25,False,785,4062,0.6065337579617834,0.12115997265492578,0.014679738973742364,0.2343873345174982,0.9655421913601075,12 pooled across genes,12,11,0.8461538461538461,11,0.8461538461538461,23,0.8518518518518519
HIV-1,30,False,785,3734,0.5995630573248407,0.12125928919109924,0.014703815215130636,0.23693755359980923,0.9896763471505023,12 pooled across genes,12,11,0.8461538461538461,11,0.8461538461538461,23,0.8518518518518519
HIV-1,33,True,785,3571,0.5963617834394904,0.12112097202451037,0.014670289864162226,0.23816657662466012,0.9999999999999999,12 pooled across genes,12,12,1.0,12,1.0,25,1.0
HIV-1,40,False,785,3213,0.5854025477707006,0.11948862550951721,0.014277531626153646,0.2411866406388297,0.9625921004748891,12 pooled across genes,12,10,0.7142857142857143,10,0.7142857142857143,20,0.6666666666666666
HIV-1,45,False,785,3014,0.5766904458598726,0.11642210640652653,0.013554106860132586,0.242147673004308,0.9267997493716363,12 pooled across genes,12,8,0.5,8,0.5,18,0.5625
HIV-1,50,False,785,2832,0.5672636942675159,0.1155907101128642,0.013361212264396207,0.24675485646724946,0.8854798128282231,12 pooled across genes,12,7,0.4117647058823529,7,0.4117647058823529,17,0.5151515151515151
SARS-CoV-2,10,False,3027,3422,0.3584912454575488,0.07897201081649582,0.006236578492400734,0.13711270742574175,0.9996646396502065,12 pooled across genes,12,12,1.0,12,1.0,25,1.0
SARS-CoV-2,15,False,3027,3402,0.3583947803105385,0.07892572921947032,0.0062292707328251515,0.13704760761121534,0.9998156164757517,12 pooled across genes,12,12,1.0,12,1.0,25,1.0
SARS-CoV-2,20,False,3027,3385,0.35813412619755536,0.07874613377087876,0.0062009535838611326,0.1369781299258829,0.9999970335072068,12 pooled across genes,12,12,1.0,12,1.0,25,1.0
SARS-CoV-2,25,True,3027,3381,0.35807300958044275,0.07864946633104514,0.0061857385541582025,0.13686381965429512,1.0,12 pooled across genes,12,12,1.0,12,1.0,25,1.0
SARS-CoV-2,30,False,3027,3374,0.35800825900231253,0.07857677928247918,0.006174310242407448,0.13678965125625095,0.9999973787384661,12 pooled across genes,12,12,1.0,12,1.0,24,0.9230769230769231
SARS-CoV-2,33,False,3027,3366,0.3578810703666997,0.07846547349320522,0.006156830530512892,0.13670513139812465,0.999988153408571,12 pooled across genes,12,12,1.0,12,1.0,24,0.9230769230769231
SARS-CoV-2,40,False,3027,3358,0.35780409646514705,0.07839015331373683,0.006145016136551167,0.13667433934043408,0.9999850554143775,12 pooled across genes,12,12,1.0,12,1.0,24,0.9230769230769231
SARS-CoV-2,45,False,3027,3354,0.3577330690452593,0.07829366718417433,0.006129898321146255,0.1364579373788752,0.9999816912428909,12 pooled across genes,12,12,1.0,12,1.0,24,0.9230769230769231
SARS-CoV-2,50,False,3027,3348,0.3576286752560291,0.07820633949372978,0.006116231537008517,0.13642617104919613,0.9999726971612563,12 pooled across genes,12,12,1.0,12,1.0,24,0.9230769230769231
