accession	variant
BS001035.1	B.1.1.7
BS001043.1	B.1.1.7
BS001059.1	B.1.1.7
BS001079.1	B.1.1.7
BS001082.1	B.1.1.7
BS001137.1	B.1.1.7
BS001138.1	B.1.1.7
BS001139.1	B.1.1.7
BS001140.1	B.1.1.7
BS001141.1	B.1.1.7
BS001142.1	B.1.1.7
BS001143.1	B.1.1.7
BS001144.1	B.1.1.7
BS001145.1	B.1.1.7
BS001146.1	B.1.1.7
BS001147.1	B.1.1.7
BS001148.1	B.1.1.7
BS001149.1	B.1.1.7
BS001150.1	B.1.1.7
BS001151.1	B.1.1.7
BS001153.1	B.1.1.7
BS001156.1	B.1.1.7
BS001161.1	B.1.1.7
BS001162.1	B.1.1.7
BS001163.1	B.1.1.7
BS001164.1	B.1.1.7
BS001165.1	B.1.1.7
BS001166.1	B.1.1.7
BS001167.1	B.1.1.7
BS001168.1	B.1.1.7
BS001169.1	B.1.1.7
BS001170.1	B.1.1.7
BS001171.1	B.1.1.7
BS001172.1	B.1.1.7
BS001173.1	B.1.1.7
BS001174.1	B.1.1.7
BS001175.1	B.1.1.7
BS001176.1	B.1.1.7
BS001177.1	B.1.1.7
BS001178.1	B.1.1.7
BS001180.1	B.1.1.7
BS001181.1	B.1.1.7
BS001182.1	B.1.1.7
BS001183.1	B.1.1.7
BS001184.1	B.1.1.7
BS001185.1	B.1.1.7
BS001186.1	B.1.1.7
BS001187.1	B.1.1.7
BS001188.1	B.1.1.7
BS001189.1	B.1.1.7
BS001190.1	B.1.1.7
BS001191.1	B.1.1.7
BS001192.1	B.1.1.7
BS001193.1	B.1.1.7
BS001194.1	B.1.1.7
BS001195.1	B.1.1.7
BS001196.1	B.1.1.7
BS001197.1	B.1.1.7
BS001198.1	B.1.1.7
BS001199.1	B.1.1.7
BS001200.1	B.1.1.7
BS001201.1	B.1.1.7
BS001202.1	B.1.1.7
BS001203.1	B.1.1.7
BS001204.1	B.1.1.7
BS001205.1	B.1.1.7
BS001206.1	B.1.1.7
BS001207.1	B.1.1.7
BS001208.1	B.1.1.7
BS001209.1	B.1.1.7
BS001210.1	B.1.1.7
BS001211.1	B.1.1.7
BS001212.1	B.1.1.7
BS001213.1	B.1.1.7
BS001214.1	B.1.1.7
BS001215.1	B.1.1.7
BS001216.1	B.1.1.7
BS001217.1	B.1.1.7
BS001218.1	B.1.1.7
BS001219.1	B.1.1.7
BS001220.1	B.1.1.7
BS001221.1	B.1.1.7
BS001222.1	B.1.1.7
BS001223.1	B.1.1.7
BS001224.1	B.1.1.7
BS001225.1	B.1.1.7
BS001226.1	B.1.1.7
BS001227.1	B.1.1.7
BS001228.1	B.1.1.7
BS001229.1	B.1.1.7
BS001230.1	B.1.1.7
BS001231.1	B.1.1.7
BS001232.1	B.1.1.7
BS001233.1	B.1.1.7
BS001234.1	B.1.1.7
BS001235.1	B.1.1.7
BS001236.1	B.1.1.7
BS001237.1	B.1.1.7
BS001238.1	B.1.1.7
BS001239.1	B.1.1.7
BS001240.1	B.1.1.7
BS001241.1	B.1.1.7
BS001242.1	B.1.1.7
BS001243.1	B.1.1.7
BS001244.1	B.1.1.7
BS001246.1	B.1.1.7
BS001248.1	B.1.1.7
BS001249.1	B.1.1.7
BS001250.1	B.1.1.7
BS001251.1	B.1.1.7
BS001252.1	B.1.1.7
BS001253.1	B.1.1.7
BS001254.1	B.1.1.7
BS001255.1	B.1.1.7
BS001256.1	B.1.1.7
BS001257.1	B.1.1.7
BS001258.1	B.1.1.7
BS001259.1	B.1.1.7
BS001260.1	B.1.1.7
BS001261.1	B.1.1.7
BS001262.1	B.1.1.7
BS001263.1	B.1.1.7
BS001264.1	B.1.1.7
BS001265.1	B.1.1.7
BS001266.1	B.1.1.7
BS001267.1	B.1.1.7
BS001268.1	B.1.1.7
BS001269.1	B.1.1.7
