accession	genotype
AF073831.1	A1
AF073832.1	C
AF073833.1	A1
AF073834.1	A2
AF073835.1	C
AF378909.1	A2
AF378910.1	D
AF378911.1	D
AF378912.1	B2
AF378913.1	A2
AF378914.1	A2
AF378916.1	A1
AF378917.1	A1
AF378918.1	A1
AF378919.1	D
AF378920.1	A2
AF378921.1	A1
AF378922.1	D
AF378923.1	A1
AF378924.1	A2
AH013698.2	A1
AJ313044.1	A2
AJ313045.1	D
AJ313046.1	D
AJ313047.1	B2
AJ313048.1	A2
AJ313049.1	A2
AJ313050.1	A2
AJ313052.1	A1
AJ313053.1	A1
AJ313054.1	A1
AJ313055.1	D
AJ313056.1	A2
AJ313057.1	A1
AJ313058.1	D
AJ313059.1	A1
AJ313060.1	A2
AJ406953.1	A2
AJ406954.1	A1
AJ406955.1	C
AJ406956.1	A2
AJ406957.1	C
AJ406958.1	A2
AJ406959.1	A2
AJ406960.1	A1
AJ406961.1	A2
AJ406962.1	D
AJ406963.1	B2
AJ406964.1	B2
AJ406965.1	A1
AJ406966.1	A1
AJ406967.1	B2
AJ406968.1	C
AJ406969.1	A1
AY174264.1	D
AY174265.1	A1
AY174266.1	A2
AY174267.1	A2
AY174268.1	D
AY174269.1	A1
AY174270.1	A1
AY174271.1	A2
AY174272.1	A1
AY174273.1	D
AY174274.1	B1
AY174275.1	A2
AY174276.1	B2
AY174277.1	B2
AY174278.1	D
AY174279.1	D
AY174280.1	A1
AY174281.1	A2
AY174282.1	A1
AY174283.1	B2
AY174284.1	A2
AY174285.1	A2
AY174286.1	A2
AY174287.1	C
AY174288.1	A1
AY446894.2	A2
BK000394.5	A2
FJ527563.1	A2
FJ616285.1	A2
GQ221973.1	A2
GQ221974.1	A1
GQ221975.1	A1
GQ396662.1	A1
GQ396663.1	A1
GQ466044.1	A2
GU179001.1	A2
GU179288.1	A1
GU179289.1	A2
GU179290.1	A2
GU179291.1	A1
GU937742.2	A1
GU980198.1	C
HQ380895.1	D
JX512197.1	B2
JX512198.1	A2
JX512199.1	A2
JX512200.1	C
JX512201.1	A1
JX512202.1	A2
JX512203.1	A1
JX512204.1	B1
JX512205.1	A1
JX512206.1	A1
JX512207.1	D
JX512208.1	D
KC519319.1	A1
KC519320.1	C
KC519321.1	A1
KC519322.1	A1
KC519323.1	A1
KF021605.1	A1
KF297339.1	B1
KJ361946.1	C
KJ361947.1	A1
KJ361948.1	A1
KJ361949.1	A1
KJ361950.1	A2
KJ361951.1	B1
KJ361952.1	A1
KJ361953.1	A2
KJ361954.1	C
KJ361955.1	A1
KJ361956.1	B1
KJ361957.1	C
KJ361958.1	A1
KJ361959.1	C
KJ361960.1	C
KJ361961.1	A2
KJ361962.1	B2
KJ361963.1	A2
KJ361964.1	A1
KJ361965.1	A1
KJ361966.1	A1
KJ361967.1	A2
KJ361968.1	A2
KJ361969.1	A2
KJ361970.1	A1
KJ361971.1	A1
KJ426589.1	D
KJ872539.1	A1
KJ872540.1	D
KJ872541.1	A1
KJ872542.1	A1
KM192298.1	A2
KM192299.1	A2
KM192300.1	A2
KM192301.1	A2
KM192302.1	A2
KP745633.1	A2
KP745635.1	A1
KP745636.1	A2
KP745637.1	A1
KP745638.1	A2
KP745639.1	A1
KP745640.1	B2
KP745641.1	A2
KP745642.1	A1
KP745643.1	A1
KP745644.1	C
KP745645.1	A1
KP745646.1	B2
KP745647.1	A2
KP745648.1	D
KP745649.1	A1
KP745650.1	D
KP745651.1	D
KP745652.1	A2
KP745653.1	A1
KP745654.1	A1
KP745655.1	A1
KP745656.1	A1
KP745657.1	A1
KP745658.1	A2
KP745660.1	B2
KP745661.1	A1
KP745662.1	A2
KP745663.1	A2
KP745664.1	B1
KP745665.1	A1
KP745666.1	A1
KP745667.1	A1
KP745668.1	B2
KP745669.1	A1
KP745670.1	A1
KP745671.1	A2
KP745672.1	D
KP745674.1	A1
KP745675.1	B2
KP745676.1	C
KP745677.1	C
KP745678.1	B1
KP745679.1	A2
KP745680.1	A1
KP745681.1	B1
KP745682.1	A2
KP745683.1	D
KP745684.1	A2
KP745685.1	A1
KP745686.1	B1
KP745687.1	A2
KP745688.1	A1
KP745689.1	B1
KP745690.1	B2
KP745691.1	A1
KP745692.1	A1
KP745693.1	A1
KP745694.1	C
KP745695.1	A1
KP745696.1	B2
KP745697.1	A1
KP745698.1	D
KP745699.1	B1
KP745701.1	C
KP745703.1	A1
KP745704.1	D
KP745705.1	A1
KP745706.1	A2
KP745707.1	A2
KP745708.1	D
KP745709.1	A1
KP745710.1	A1
KP745711.1	A1
KP745713.1	D
KP745714.1	A1
KP745715.1	A1
KP745716.1	C
KP745717.1	A1
KP745718.1	A1
KP745719.1	A1
KP745720.1	A2
KP745721.1	A1
KP745722.1	B2
KP745723.1	A2
KP745724.1	A2
KP745725.1	B1
KP745726.1	A1
KP745727.1	A2
KP745728.1	A1
KP973623.1	A2
KP973624.1	A2
KP973625.1	A2
KP973626.1	A2
KP973627.1	A2
KP973628.1	A2
KP973629.1	A2
KP973630.1	A2
KP973631.1	A2
KP973632.1	A2
KP973633.1	A2
KP973634.1	A2
KP973635.1	A2
KP973636.1	A2
KP973637.1	A2
KP973638.1	A2
KP973639.1	A2
KP973640.1	A2
KP973641.1	A2
KP973642.1	A2
KR534196.1	A1
KR534197.1	B1
KR534198.1	A2
KR534199.1	B2
KR534200.1	A1
KR534201.1	A1
KR534202.1	C
KR534203.1	B2
KR534204.1	A2
KR534205.1	A1
KR534206.1	B1
KR534207.1	A2
KR534208.1	D
KR534209.1	D
KR534210.1	A1
KR534211.1	B1
KR534212.1	A1
KR534213.1	A2
KT634296.1	A1
KT726940.2	A1
KT726941.2	A2
KT726942.2	A2
KT726943.2	A1
KT726944.2	A1
KT726946.2	A1
KT726947.2	B2
KT726948.2	D
KT726949.2	A1
KT726950.2	C
KT726951.2	D
KT726952.2	A2
KT726953.2	A1
KT726954.2	B1
KT726955.2	A2
KT959235.1	A1
KU221090.1	A2
KU221091.1	A2
KU221092.1	A2
KU221093.1	A2
KU221094.1	A2
KU221095.1	A2
KU221096.1	A2
KU221097.1	A2
KU221098.1	A2
KU221099.1	A2
KU221100.1	A2
KU550087.1	A1
KU550088.1	A1
KU550089.1	B1
KU550090.1	B1
KX101021.1	A2
KX101022.1	A2
KX101023.1	A2
KX101024.1	A1
KX544831.1	C
KX544832.1	A2
KX544833.1	A2
KX544834.1	A2
KX544835.1	A2
KX544836.1	A2
KX544837.1	A1
KX544838.1	B2
KX544840.1	A1
KX544841.1	D
KY002200.1	A1
KY002201.1	A1
KY123649.1	D
KY123650.1	A1
KY123651.1	C
KY123652.1	D
KY123653.1	A1
KY490061.1	A1
KY490062.1	A2
KY490063.1	B1
KY490064.1	A1
KY490065.1	A2
KY490066.1	B2
KY490067.1	C
KY490068.1	A1
KY490069.1	A1
KY490070.1	A1
KY490071.1	B2
KY490072.1	A2
KY490073.1	B1
KY490074.1	A1
KY490075.1	A1
KY490076.1	A2
KY490077.1	A1
KY490078.1	D
KY490079.1	A1
KY490080.1	C
KY490081.1	A1
KY490082.1	B1
KY490083.1	C
KY490084.1	B2
KY490085.1	A1
KY490086.1	A1
KY490087.1	B1
KY490088.1	D
L20501.1	D
LC846338.1	D
LC846339.1	D
MF084223.1	A2
MF084224.1	B1
MK290742.1	D
MK290743.1	C
MK290744.1	C
MK422176.1	D
MK425187.1	D
MT044476.1	A1
MT044477.1	A1
MT044478.1	A1
MT044479.1	B1
MT044480.1	B2
MT044481.1	A2
MT044482.1	D
MT044483.1	A1
MT044484.1	B1
MT044485.1	B2
MT070139.1	A2
MT649468.1	A1
MT649469.1	A1
MT649470.1	A1
MT649471.1	C
MT649472.1	A1
MT649473.1	A1
MT649474.1	A1
MW197154.1	A2
MW197155.1	A1
MW197156.1	A1
MW197157.1	A1
MW439038.1	B1
MW439039.1	B1
MW528458.1	A2
MW528459.1	C
MW528460.1	A2
MW528461.1	A2
MW528462.1	A1
MW528463.1	A1
MW528464.1	B2
MW980585.1	C
NC_006273.2	A2
OK000909.1	A2
OK000910.1	D
OK000911.1	D
OK000912.1	A2
ON119190.1	A1
ON119191.1	A1
ON119192.1	A2
ON119193.1	D
ON119194.1	A1
ON119195.1	A1
ON119197.1	A1
ON119198.1	A1
ON119199.1	A1
OQ466311.1	A1
OQ466312.1	A1
OQ857252.1	B1
OU342900.1	A1
OU342911.1	B2
OU342912.1	A1
OU342913.1	C
OU342914.1	B1
OU342915.1	A1
OU342916.1	A1
OU342917.1	A1
OU342918.1	D
PP412592.1	A1
PP412593.1	A1
PP412594.1	A1
PQ851837.1	B2
PQ851838.1	B2
PQ851839.1	B2
PQ851840.1	B2
PQ851841.1	B2
PQ851842.1	B2
PQ851843.1	B2
PQ851844.1	B2
PQ879540.1	D
PQ879541.1	D
PX246278.1	D
