accession	genotype
A03782.1	2
A13758.1	2
AY446894.2	1
BK000394.5	2
EF531303.1	1
FJ527563.1	2
FJ616285.1	1
GQ121041.1	1
GQ221973.1	3
GQ221974.1	1
GQ221975.1	2
GQ396662.1	3
GQ396663.1	3
GQ466044.1	1
GU179001.1	1
GU179288.1	1
GU179289.1	3
GU179290.1	2
GU179291.1	1
GU937742.2	3
HQ380895.1	3
JX512197.1	2
JX512198.1	1
JX512199.1	3
JX512200.1	1
JX512201.1	3
JX512202.1	2
JX512203.1	1
JX512204.1	2
JX512205.1	2
JX512206.1	2
JX512207.1	2
JX512208.1	1
KC519319.1	1
KC519320.1	1
KC519321.1	2
KC519322.1	4
KC519323.1	1
KF297339.1	1
KF493876.1	1
KF493877.1	1
KJ361946.1	1
KJ361947.1	1
KJ361948.1	4
KJ361949.1	2
KJ361951.1	3
KJ361952.1	1
KJ361953.1	1
KJ361954.1	3
KJ361955.1	1
KJ361956.1	1
KJ361957.1	3
KJ361958.1	1
KJ361959.1	2
KJ361960.1	2
KJ361961.1	1
KJ361962.1	3
KJ361963.1	1
KJ361964.1	3
KJ361965.1	1
KJ361966.1	2
KJ361967.1	1
KJ361968.1	2
KJ361969.1	4
KJ361970.1	3
KJ778195.1	2
KJ778196.1	2
KJ778197.1	3
KJ778198.1	3
KJ778199.1	4
KJ778200.1	4
KJ872539.1	2
KJ872540.1	3
KJ872541.1	3
KJ872542.1	2
KM192298.1	1
KM192299.1	1
KM192300.1	1
KM192301.1	1
KM192302.1	1
KP745633.1	4
KP745634.1	2
KP745635.1	4
KP745636.1	2
KP745637.1	1
KP745638.1	2
KP745639.1	4
KP745641.1	2
KP745642.1	2
KP745643.1	4
KP745644.1	1
KP745645.1	3
KP745646.1	1
KP745647.1	1
KP745648.1	1
KP745649.1	4
KP745650.1	2
KP745651.1	2
KP745652.1	1
KP745653.1	1
KP745654.1	1
KP745655.1	3
KP745656.1	2
KP745657.1	1
KP745658.1	4
KP745659.1	3
KP745660.1	3
KP745661.1	2
KP745662.1	1
KP745663.1	1
KP745664.1	2
KP745665.1	2
KP745666.1	2
KP745667.1	1
KP745668.1	3
KP745669.1	1
KP745670.1	2
KP745671.1	1
KP745672.1	1
KP745673.1	3
KP745674.1	1
KP745675.1	3
KP745676.1	3
KP745677.1	2
KP745678.1	1
KP745679.1	1
KP745680.1	2
KP745681.1	3
KP745682.1	2
KP745683.1	3
KP745684.1	2
KP745685.1	3
KP745686.1	1
KP745687.1	4
KP745688.1	2
KP745689.1	1
KP745690.1	4
KP745691.1	2
KP745692.1	2
KP745693.1	2
KP745694.1	3
KP745695.1	2
KP745696.1	3
KP745697.1	1
