dataset,gene,position,effective_fraction,effective_sequences,null_p95,null_max
SARS-CoV-2,ORF1ab,1,0.5,139369,0.007575013440830394,0.009154090515806023
SARS-CoV-2,ORF1ab,1,0.25,69685,0.010526266780777028,0.013305621456184002
SARS-CoV-2,ORF1ab,1,0.1,27875,0.015529633901018499,0.019803906301246926
SARS-CoV-2,ORF1ab,10,0.5,139368,0.007559346485967589,0.008998305564090127
SARS-CoV-2,ORF1ab,10,0.25,69684,0.01049100108379477,0.013380569262118931
SARS-CoV-2,ORF1ab,10,0.1,27875,0.016146472520697116,0.019203901860454176
SARS-CoV-2,ORF1ab,19,0.5,139369,0.007767853358189765,0.009511035291909857
SARS-CoV-2,ORF1ab,19,0.25,69684,0.010726497952212631,0.01232190020325705
SARS-CoV-2,ORF1ab,19,0.1,27875,0.01624048711413113,0.021051934285256067
SARS-CoV-2,ORF1ab,28,0.5,139368,0.007596222501753575,0.009159365433437195
SARS-CoV-2,ORF1ab,28,0.25,69684,0.01058535136437135,0.012919818797282961
SARS-CoV-2,ORF1ab,28,0.1,27875,0.01590633312900708,0.019625980777892987
SARS-CoV-2,ORF1ab,37,0.5,139369,0.007654977865236532,0.00933960274035171
SARS-CoV-2,ORF1ab,37,0.25,69685,0.01053416094560526,0.013179469960388938
SARS-CoV-2,ORF1ab,37,0.1,27875,0.01632810061597366,0.02101554798226004
SARS-CoV-2,ORF1ab,46,0.5,139370,0.007724111060488375,0.009557366612566086
SARS-CoV-2,ORF1ab,46,0.25,69685,0.010819632337812444,0.014345361213336178
SARS-CoV-2,ORF1ab,46,0.1,27875,0.016428418820860904,0.02014183045031726
SARS-CoV-2,ORF1ab,55,0.5,139369,0.007722392182564087,0.009168407256337201
SARS-CoV-2,ORF1ab,55,0.25,69684,0.010656024292087967,0.013102217120355874
SARS-CoV-2,ORF1ab,55,0.1,27875,0.016637302720326357,0.02035123096057143
SARS-CoV-2,ORF1ab,64,0.5,139368,0.007831727390482044,0.009375799167110408
SARS-CoV-2,ORF1ab,64,0.25,69684,0.01118267390827431,0.013489560322403936
SARS-CoV-2,ORF1ab,64,0.1,27875,0.017283866756157448,0.021676868196157596
SARS-CoV-2,ORF1ab,73,0.5,139368,0.007818253430021602,0.009581707804326853
SARS-CoV-2,ORF1ab,73,0.25,69684,0.010985199120212714,0.01392785729823265
SARS-CoV-2,ORF1ab,73,0.1,27875,0.01692419136312205,0.021430721349624336
SARS-CoV-2,ORF1ab,82,0.5,139370,0.007711704331669733,0.008800670367476594
SARS-CoV-2,ORF1ab,82,0.25,69685,0.010672664929572539,0.013174919121662952
SARS-CoV-2,ORF1ab,82,0.1,27875,0.016282244461525132,0.02232391936227108
SARS-CoV-2,ORF1ab,91,0.5,139370,0.007580715625582012,0.009111551733162271
SARS-CoV-2,ORF1ab,91,0.25,69685,0.010416783281389664,0.012649627058332058
SARS-CoV-2,ORF1ab,91,0.1,27875,0.015611544940833862,0.02063404625518795
SARS-CoV-2,ORF1ab,100,0.5,139369,0.007666670484396512,0.009844518299630097
SARS-CoV-2,ORF1ab,100,0.25,69684,0.010652086588544628,0.012603529983851697
SARS-CoV-2,ORF1ab,100,0.1,27875,0.016235966623596165,0.019245327444947155
SARS-CoV-2,ORF1ab,109,0.5,139368,0.007598719343746824,0.009411521886700774
SARS-CoV-2,ORF1ab,109,0.25,69684,0.010492822769801527,0.012764946612072168
SARS-CoV-2,ORF1ab,109,0.1,27875,0.015649634478815736,0.020865364050904427
SARS-CoV-2,ORF1ab,118,0.5,139370,0.007757055529391974,0.010811859105666455
SARS-CoV-2,ORF1ab,118,0.25,69685,0.010689836126671192,0.01268175024324449
SARS-CoV-2,ORF1ab,118,0.1,27875,0.016407717028373098,0.021041333905656778
SARS-CoV-2,ORF1ab,127,0.5,139369,0.007796512361027485,0.00948349660660744
SARS-CoV-2,ORF1ab,127,0.25,69684,0.01064282113397998,0.014080665622651199
SARS-CoV-2,ORF1ab,127,0.1,27875,0.016486145388598383,0.020202124518799266
SARS-CoV-2,ORF1ab,136,0.5,139369,0.009859903468446549,0.011601948973651032
SARS-CoV-2,ORF1ab,136,0.25,69685,0.013420265048043984,0.015483110657258525
SARS-CoV-2,ORF1ab,136,0.1,27875,0.019472833204268934,0.022699229483759784
SARS-CoV-2,ORF1ab,145,0.5,139369,0.007641939616025866,0.009508141338291637
SARS-CoV-2,ORF1ab,145,0.25,69684,0.010334988723237326,0.012472411108614932
SARS-CoV-2,ORF1ab,145,0.1,27875,0.015723778248967177,0.01993372565411168
SARS-CoV-2,ORF1ab,154,0.5,139369,0.007713062125240242,0.009720827271411641
SARS-CoV-2,ORF1ab,154,0.25,69685,0.010530954000354729,0.012858533669646864
SARS-CoV-2,ORF1ab,154,0.1,27875,0.016144233400786686,0.01975403139783282
SARS-CoV-2,ORF1ab,163,0.5,139370,0.007525692392989219,0.009583374584561146
SARS-CoV-2,ORF1ab,163,0.25,69685,0.010544976593539505,0.012876388177438738
SARS-CoV-2,ORF1ab,163,0.1,27875,0.015701995945646738,0.02090956350718961
SARS-CoV-2,ORF1ab,172,0.5,139368,0.007564194576252762,0.009264408908169033
SARS-CoV-2,ORF1ab,172,0.25,69684,0.010374503157766144,0.012717929181463776
SARS-CoV-2,ORF1ab,172,0.1,27875,0.015510337194725226,0.018953980364731646
SARS-CoV-2,ORF1ab,181,0.5,139369,0.007553722350821297,0.010039828992719211
SARS-CoV-2,ORF1ab,181,0.25,69684,0.010365778087723583,0.012483216778762112
SARS-CoV-2,ORF1ab,181,0.1,27875,0.01551108798845469,0.021091913314431443
SARS-CoV-2,ORF1ab,190,0.5,139369,0.007375283430999145,0.009097709897686164
SARS-CoV-2,ORF1ab,190,0.25,69685,0.010181265279480236,0.012267655984854235
SARS-CoV-2,ORF1ab,190,0.1,27875,0.01469547610027803,0.02018256244581057
SARS-CoV-2,ORF1ab,199,0.5,139368,0.007676126301196973,0.009913464356654467
SARS-CoV-2,ORF1ab,199,0.25,69684,0.010442224596152084,0.012951759856988019
SARS-CoV-2,ORF1ab,199,0.1,27875,0.01565910917754781,0.019231850871340946
SARS-CoV-2,ORF1ab,208,0.5,139369,0.0077085071173332905,0.009243648395800544
SARS-CoV-2,ORF1ab,208,0.25,69685,0.010612727987694389,0.012737378145187887
