Accession,UniProt_Annotation_Score,UniProt_Normalized_Score,Protein_Characterization_Score,Delta_Protein_Component_minus_UniProt_norm,Protein_Name,Organism,Protein_Existence,Num_References,GO_MF,GO_BP,GO_CC,Has_3D_Structure,Has_PTM,Has_Interactions,Num_Structural_Functional_Features
P16751,1.0,0.0,0.42,0.42,Uncharacterized protein UL78,Human cytomegalovirus (strain AD169),1,3,0,0,1,True,True,False,7
P42484,2.0,0.25,0.625,0.375,DNA-directed RNA polymerase RPB6 homolog,African swine fever virus (strain Badajoz 1971 Vero-adapted),1,5,4,2,3,True,False,False,0
Q5UPL1,1.0,0.0,0.35,0.35,Uncharacterized protein L136,Acanthamoeba polyphaga mimivirus,1,1,2,1,0,True,False,False,0
P90463,2.0,0.25,0.6,0.35,Thymidylate synthase,Human herpesvirus 8 type P (isolate GK18),1,3,1,3,0,True,False,True,8
P34081,1.0,0.0,0.35,0.35,DNA endonuclease I-HmuI,Bacillus phage SP01,1,2,1,1,0,True,False,False,0
A7J3A1,2.0,0.25,0.585,0.335,Intermediate capsid protein VP6,Rotavirus A (strain RVA/Cow/United States/NCDV-Lincoln/1969/G6P6[1]),1,3,3,1,2,True,True,False,4
P42488,2.0,0.25,0.585,0.335,DNA-directed RNA polymerase RPB10 homolog,African swine fever virus (strain Badajoz 1971 Vero-adapted),1,3,3,2,2,True,False,False,4
P04132,1.0,0.0,0.325,0.325,Repressor protein C,Escherichia phage P2,1,3,1,0,0,True,False,False,2
P32762,2.0,0.25,0.57,0.32,Lytic amidase,Streptococcus pneumoniae phage HB-3,1,2,1,4,1,False,False,False,7
P17574,1.0,0.0,0.32,0.32,Coat protein,Satellite tobacco mosaic virus,1,2,1,0,1,True,False,False,0
Q5UQK5,1.0,0.0,0.32,0.32,Uncharacterized protein R403,Acanthamoeba polyphaga mimivirus,1,2,0,0,1,False,False,False,7
Q5UNW3,1.0,0.0,0.32,0.32,Uncharacterized protein R705,Acanthamoeba polyphaga mimivirus,1,2,0,0,1,False,False,False,8
Q5UPS5,1.0,0.0,0.32,0.32,Uncharacterized protein L780,Acanthamoeba polyphaga mimivirus,1,1,1,1,1,True,False,False,0
Q5UQF8,1.0,0.0,0.32,0.32,Uncharacterized protein L488,Acanthamoeba polyphaga mimivirus,1,2,0,0,1,False,False,False,7
Q5UQQ0,1.0,0.0,0.32,0.32,Uncharacterized protein L452,Acanthamoeba polyphaga mimivirus,1,2,0,0,1,False,False,False,13
Q5UQK6,1.0,0.0,0.32,0.32,Uncharacterized protein R402,Acanthamoeba polyphaga mimivirus,1,2,0,0,1,False,False,False,9
Q86993,1.0,0.0,0.32,0.32,Coat protein,Satellite panicum mosaic virus,1,2,1,0,1,True,False,False,0
P06794,2.0,0.25,0.56,0.31,Major capsid protein L1,Human papillomavirus type 18,1,3,1,2,2,True,True,False,3
